osmnodesmilan.id,osmnodesmilan.userid,osmnodesmilan.timestamp,osmnodesmilan.isvisible,osmnodesmilan.version,osmnodesmilan.changesetid,osmnodesmilan.tags,osmnodesmilan.latitude,osmnodesmilan.longitude
N10371251,0,2010-11-08T15:30:51Z,false,11,0,{},45.3896945,9.2155055
N10371253,0,2016-09-01T08:39:22Z,false,10,0,{"ref":"8","name":"SS412 Val Tidone","highway":"motorway_junction"},45.3896436,9.2163811
N10371254,0,2009-03-04T18:31:10Z,false,11,0,{},45.3913796,9.2010797
N10371256,0,2010-11-16T16:16:09Z,false,11,0,{},45.3908688,9.1902224
N10371257,0,2009-03-04T18:29:25Z,false,5,0,{},45.390945,9.1897694
N10371258,0,2012-08-31T15:10:31Z,false,11,0,{},45.3867747,9.1754428
N10371259,0,2010-11-16T16:16:13Z,false,5,0,{},45.3868759,9.1753298
N10371466,0,2009-12-01T14:33:02Z,false,3,0,{},45.3996073,9.1262877
N10371468,0,2014-08-27T11:50:43Z,false,11,0,{},45.3995106,9.1269819
N10371469,0,2006-08-30T13:15:46Z,false,1,0,{"created_by":"JOSM"},45.4108441,9.1054711
N10371472,0,2009-03-04T18:41:25Z,false,9,0,{},45.4160393,9.0883845
N10371473,0,2015-07-02T14:03:23Z,false,5,0,{},45.4234052,9.0794043
N10371474,0,2015-07-02T14:03:23Z,false,13,0,{},45.4234736,9.0795459
N10371475,0,2008-04-30T22:06:57Z,false,2,0,{"created_by":"JOSM"},45.4295128,9.0756981
N10371476,0,2010-06-01T15:13:01Z,false,11,0,{},45.4295772,9.0758521
N10371481,0,2017-05-20T22:14:17Z,false,11,0,{},45.4560574,9.0775332
N10371482,0,2010-06-01T14:58:55Z,false,4,0,{},45.4561192,9.0773009
N10371483,0,2010-06-01T14:58:56Z,false,11,0,{},45.4646239,9.0762854
N10371485,0,2010-06-01T14:58:56Z,false,4,0,{},45.4646386,9.0760945
N10371486,0,2009-03-04T18:41:26Z,false,10,0,{},45.4707124,9.0794709
N10371487,0,2009-11-29T19:31:10Z,false,3,0,{},45.4707701,9.0792724
N10371488,0,2009-11-11T23:05:26Z,false,11,0,{},45.4883735,9.0671657
N10371489,0,2009-05-22T22:08:23Z,false,10,0,{},45.4857368,9.0687774
N10371490,0,2009-11-11T23:05:26Z,false,10,0,{},45.4883121,9.0669247
N10371528,0,2009-05-22T22:08:23Z,false,10,0,{},45.4856276,9.0685594
N10371529,0,2014-04-14T21:02:52Z,false,6,0,{},45.4875632,9.0766246
N10371530,0,2015-06-27T10:37:25Z,false,7,0,{},45.4798037,9.1020554
N13595397,0,2014-05-23T19:38:11Z,false,5,0,{"highway":"traffic_signals"},45.4995162,9.1306562
N13598756,0,2014-02-25T19:17:00Z,false,7,0,{"highway":"traffic_signals"},45.4827505,9.1637733
N13598788,0,2015-02-24T22:40:10Z,false,19,0,{},45.487319,9.1573763
N13919619,0,2014-04-19T18:57:58Z,false,8,0,{},45.4848096,9.1561658
N13919627,0,2012-10-05T14:20:32Z,false,17,0,{},45.4877734,9.1576875
N13919635,0,2016-03-26T18:53:13Z,false,4,0,{"highway":"crossing"},45.4876966,9.1607328
N13919638,0,2011-04-27T08:48:34Z,false,6,0,{},45.4904868,9.1603135
N13919640,0,2013-10-30T18:52:04Z,false,4,0,{"highway":"traffic_signals"},45.4861303,9.1537521
N13919646,0,2015-09-05T18:44:47Z,false,11,0,{"highway":"traffic_signals"},45.4905731,9.1657369
N13919649,0,2016-03-26T18:55:25Z,false,4,0,{},45.4873403,9.1607872
N13919653,0,2014-04-19T18:57:58Z,false,7,0,{},45.4838313,9.156101
N13919654,0,2015-02-24T23:04:05Z,false,4,0,{},45.4809828,9.1559961
N13919655,0,2015-09-05T18:50:44Z,false,3,0,{"highway":"crossing"},45.4876651,9.1621879
N13919747,0,2017-02-17T17:10:56Z,false,6,0,{"highway":"traffic_signals"},45.4808002,9.1607577
N13919748,0,2016-03-27T16:15:30Z,false,12,0,{"highway":"traffic_signals"},45.4861429,9.1589576
N13919749,0,2014-02-25T19:17:00Z,false,7,0,{"highway":"traffic_signals"},45.4845276,9.161433
N13919750,0,2016-03-27T10:39:37Z,false,6,0,{"highway":"crossing"},45.4875769,9.1655084
N14460861,0,2010-11-08T15:29:59Z,false,8,0,{},45.3909615,9.2084865
N14460862,0,2010-11-08T15:30:24Z,false,11,0,{},45.3908364,9.2085406
N14460864,0,2010-11-16T16:16:16Z,false,11,0,{},45.3913742,9.1954778
N14460865,0,2010-11-16T16:16:13Z,false,6,0,{},45.3897186,9.1837091
N14460866,0,2010-11-16T16:16:26Z,false,10,0,{},45.3900786,9.1857753
N14460868,0,2012-08-31T08:12:36Z,false,7,0,{},45.3883536,9.1793285
N14460871,0,2017-09-18T02:44:36Z,false,7,0,{"ref":"7","name":"Rozzano","highway":"motorway_junction"},45.3920005,9.15076
N14460872,0,2010-05-22T12:43:20Z,false,10,0,{},45.3920339,9.1511077
N14460873,0,2011-10-20T21:24:34Z,false,16,0,{},45.3973112,9.1353214
N14460874,0,2014-09-29T12:37:23Z,false,20,0,{},45.3970927,9.136622
N14460876,0,2009-03-04T18:42:01Z,false,14,0,{},45.3981971,9.131137
N14460879,0,2009-03-04T18:41:25Z,false,9,0,{},45.4087248,9.1100424
N14460889,0,2015-07-02T14:03:23Z,false,6,0,{"ref":"6","name":"Corsico","highway":"motorway_junction"},45.4209746,9.0809244
N14460891,0,2015-07-02T14:03:23Z,false,12,0,{},45.4211944,9.0809615
N14460893,0,2008-04-30T22:06:58Z,false,2,0,{"created_by":"JOSM"},45.4306896,9.0752115
N14460894,0,2009-03-04T18:41:25Z,false,10,0,{},45.4307313,9.0753935
N14460897,0,2017-05-20T22:14:17Z,false,3,0,{},45.4584227,9.0772762
N14460898,0,2017-05-20T22:14:17Z,false,11,0,{},45.4584213,9.0774625
N14460900,0,2017-05-20T22:14:17Z,false,6,0,{},45.4635531,9.0760577
N14460901,0,2017-05-20T22:14:18Z,false,13,0,{},45.4635753,9.076244
N14460902,0,2009-11-29T19:31:10Z,false,3,0,{},45.4656042,9.076373
N14460903,0,2009-03-04T18:41:26Z,false,9,0,{},45.465571,9.0765675
N14460904,0,2017-05-20T20:29:41Z,false,11,0,{},45.4731838,9.0795772
N14460905,0,2017-05-20T20:29:40Z,false,10,0,{},45.4731977,9.0797502
